Fitur,LightGBM (%),CatBoost (%),XGBoost (%),Konsensus (%)
target_prof_st_hr_wk,9.539520363275154,77.96565492272514,42.746933,43.417369423132904
target_prof_loc_hr_wk,4.572867887044133,6.938185065524463,27.73071,13.08058734283211
target_prof_st_hr,2.877110827302398,4.423984481660633,13.528362,6.943152527710985
station_id,16.96466581524053,0.001679740955913116,0.0066122646,5.657652606915889
weather_condition,5.321413367390379,4.555099685771284,0.10880223,3.3284384274425647
month,4.370654179083298,2.1604567827188492,0.5527749,2.361295289320198
is_workplace_peak,0.06030935149709096,0.0011742425659770565,5.720357,1.9272801784287374
temperature_f,5.097914005959983,0.41135650895161036,0.14402276,1.8844310925623382
temp_dev_city_hour,4.753795941535405,0.38458962691895204,0.06889223,1.7357592671760231
gas_price_ratio_city,4.7076770256846885,0.1367788183938287,0.045916308,1.630124050598693
is_heavy_rain,3.093514970909607,0.16804688297500692,0.27798143,1.1798477613922478
dayofweek,2.979991485738612,0.33792946711799454,0.116314225,1.1447450592518071
precipitation_mm,2.802611040158933,0.0949467471647739,0.089369,0.9956422621093569
day,2.9303249609763022,0.004835269609026261,0.0073274258,0.9808292187815381
gas_price_per_gallon,2.7955158223357457,0.0433898855711849,0.045026045,0.9613105843998487
weekofyear,2.3343266638285796,0.2522008000713333,0.07800213,0.8881765321250964
target_prof_loc_hr,1.4545196537533702,0.5190978208322294,0.548481,0.8406994873781426
location_type,0.4399035050376046,0.03423392843709807,2.0172904,0.8304759290832423
target_prof_st_q90,0.23768979707677027,0.09436236449510402,2.1110005,0.8143508998147295
gas_price_per_kw,1.883780332056194,0.003927539338980548,0.0070949644,0.6316009452600692
target_prof_net_hr,1.8447566340286647,0.004131636046012156,0.008209615,0.6190326283630568
city,1.6602809706257982,0.01387322954284484,0.12158301,0.5985790691482337
sin_dow,1.1600681140911027,0.17437152377584858,0.043998025,0.4594792210748915
is_extreme_heat,0.6314743862636583,0.07951010329055118,0.61727035,0.44275161333681573
st_recent28_ratio,0.8727117922520221,0.2554230141004574,0.063322276,0.3971523607431595
hour,0.496665247623102,0.0009716841185134018,0.6367681,0.37813501146249645
latitude,0.8549737476940542,0.17265274996449018,0.048252508,0.3586263352342624
longitude,0.5711650347665673,0.07752524919310183,0.4087026,0.35246429862762896
cos_hour,0.9862352774230169,0.017733921265142255,0.0073756697,0.33711495611793124
sin_hour_weekend,0.8869022278983965,0.013057873013135744,0.04080258,0.3135875600948845
highway_peak_traffic,0.908187881367958,0.0020556918273799464,0.012721204,0.3076549257980783
sin_hour,0.8265928764013055,0.006551825731100725,0.0071442337,0.28009631193664747
time_float,0.8265928764013055,0.0027944747006088235,0.008547303,0.27931155145624587
battery_cold_penalty,0.5959982971477225,0.15193154391380004,0.07377287,0.2739009036885665
target_prof_st,0.3618561089825458,0.030991007805359357,0.42288202,0.27190971242046175
is_weekend,0.4257130693912303,0.21206082902606696,0.17084138,0.2695384264570287
cos_hour_weekend,0.7520930892578402,0.0033746390187300987,0.026534338,0.2606673552756574
highway_rush_pressure,0.6243791684404711,0.001096081422239795,0.007022369,0.2108325396833454
target_prof_st_q75,0.3618561089825458,0.01984115892632847,0.22426489,0.2019873859547983
target_prof_st_recent28,0.2731658861927061,0.02422760443881953,0.2249445,0.1741126642489251
cos_dow,0.5108556832694764,0.004564245766872086,0.0067558335,0.1740585875167944
state,0.3547608911593586,0.01924330485412509,0.047635864,0.14054668682663748
is_freezing,0.2305945792535831,0.04007226443814748,0.13974617,0.136804339302667
hour_weekend,0.3937845891868881,0.0007616931333097388,0.0075623,0.1340361941701758
level2_cold_penalty,0.31928480204342274,0.0002932546195497085,0.006450314,0.10867612357924239
network,0.31218958422023557,0.0036905073551876857,0.0063078636,0.10739598506859255
rush_intensity_afternoon,0.29090393075067406,0.0011970084826628097,0.018710734,0.10360389118533465
minute,0.29090393075067406,0.00044178900282195225,0.006637782,0.09932783387064674
power_per_port,0.2554278416347382,0.0024422267427824567,0.006384771,0.08808494640970098
is_raining,0.05321413367390379,0.004427130039541399,0.20063622,0.08609249555733665
battery_cold_penalty_sq,0.14545196537533703,0.04998678860719958,0.06272695,0.08605523537269984
station_total_capacity_kw,0.2270469703419895,0.0018318886498434042,0.010699042,0.07985930037030624
ports_total,0.21285653469561516,0.0007607207434691261,0.019346448,0.07765456770020111
cold_fast_charge,0.16319000993330496,0.04403893569681071,0.007456598,0.0715618478340647
local_event,0.1773804455796793,0.0018294785807044592,0.0065572816,0.06192240191836907
level2_rush_interaction,0.1525471831985242,0.0013417020934221291,0.0068024877,0.05356379098156505
total_amenities_count,0.13126152972896268,0.00063305243634663,0.007340787,0.04641178971463724
num_amenities,0.11707109408258833,0.0013421400968255017,0.0078021125,0.04207178222435928
shopping_rush_pressure,0.10642826734780758,0.0001483925894369151,0.01209593,0.03955752999734277
is_shopping_peak,0.014190435646374344,0.0,0.07334624,0.029178892651663662
has_local_event,0.06030935149709096,0.0,0.005205585,0.02183831221757568
is_evening_peak,0.049666524762310205,0.003328963920405943,0.0046556573,0.019217048672943996
power_output_kw,0.04611891585071662,0.0027973326186954283,0.0057754116,0.018230553360899196
has_grocery_store,0.03547608911593586,0.0,0.004778997,0.013418362052406966
is_highway_peak,0.010642826734780758,0.00013099934567509255,0.029470896,0.013414907476271018
charger_type,0.024833262381155102,0.0029041657781138683,0.0065269284,0.011421452184767283
is_midday_weekday,0.02838087129274869,0.0004354251384738783,0.0047704414,0.011195579292558632
is_midday_peak,0.024833262381155102,0.0,0.008260298,0.011031186656719713
is_midday_weekend,0.021285653469561516,0.0002322443190342675,0.007383219,0.009633705585006749
is_large_hub,0.0,0.0013769021711367189,0.026142059,0.009172987021724973
has_wifi,0.01773804455796793,0.0,0.007446705,0.008394916485332499
pricing_type,0.01773804455796793,0.0031179563644018774,0.00424921,0.008368403642044416
hub_highway_interaction,0.007095217823187172,0.0,0.016238473,0.007777897059652428
is_residential_night,0.014190435646374344,0.0,0.009056754,0.00774906335221374
has_fast_food,0.010642826734780758,0.0008594048495476804,0.006846478,0.006116236597742645
has_hotel,0.010642826734780758,0.000291037318207128,0.0072344104,0.00605609147859838
is_night_idle,0.003547608911593586,0.00024216725291811413,0.01165016,0.0051466453731788065
has_shopping_mall,0.007095217823187172,0.000501179635855635,0.005925541,0.004507312757118788
freezing_highway,0.0,0.0068615866762114525,0.006321878,0.004394488282889557
is_morning_ramp,0.003547608911593586,0.0006358275762352143,0.00860576,0.004263065359564327
has_restroom,0.003547608911593586,0.0007139281381426893,0.0082247425,0.004162093178936407
has_convenience_store,0.003547608911593586,0.00023896575806595474,0.0058111195,0.003199231373926138
has_park,0.0,0.0,0.007797841,0.0025992803275585175
is_ultra_fast,0.0,0.0001519921486641544,0.003346191,0.0011660610564488696
highway_winter_weekend,0.0,2.6974141248625846e-05,0.0010510063,0.0003593267992837768
is_free_pricing,0.0,0.0,0.0,0.0
is_thanksgiving_week,0.0,0.0,0.0,0.0
is_christmas_week,0.0,0.0,0.0,0.0
is_nye,0.0,0.0,0.0,0.0
